SG_UF;CO_ENTIDADE;IN_AGUA_POTAVEL;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;IN_REFEITORIO;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS_ACESSIVEIS;QT_SALAS_UTILIZADAS;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_SALA_DIRETORIA;IN_SECRETARIA;IN_SALA_MULTIUSO;IN_SALA_LEITURA;IN_ALIMENTACAO;IN_INTERNET;IN_INTERNET_ALUNOS;MEDIA_INFRAESTRUTURA
CE;23261994;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;43.75
CE;23168862;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;6.0;14.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;68.75
CE;23239360;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;9.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;87.5
CE;23000872;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;17.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;75.0
RN;24034495;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;4.0;6.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;68.75
RN;24034517;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;7.0;7.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;62.5
RN;24034797;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;10.0;10.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
RN;24009296;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;31.0;31.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;81.25
RN;24009300;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;12.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;56.25
RN;24080187;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;25.0;31.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;75.0
PB;25033158;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;14.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;68.75
PB;25033425;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;43.75
PB;25033476;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;56.25
PB;25121243;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;50.0
PB;25121251;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;6.0;12.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
PB;25063251;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;8.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;56.25
PE;26106477;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;6.0;6.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;56.25
PE;26106582;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;9.0;9.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;50.0
PE;26106612;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;8.0;8.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;62.5
PE;26170868;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;3.0;16.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;56.25
PE;26174189;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;28.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;43.75
PE;26174227;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;37.5
AL;27000281;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;50.0
AL;27000400;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;50.0
AL;27046427;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;14.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;56.25
AL;27051374;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;62.5
AL;27055744;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;43.75
AL;27016021;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;20.0;20.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;62.5
SE;28012658;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;50.0
SE;28012712;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;56.25
SE;28005180;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;62.5
SE;28034082;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;6.0;6.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;62.5
SE;28035402;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;3.0;10.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;75.0
SE;28017331;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;62.5
BA;29211956;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;56.25
BA;29371112;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
BA;29023564;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;43.75
BA;29149568;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;56.25
BA;29149746;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;9.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;62.5
BA;29333229;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;43.75
MG;31200263;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;43.75
MG;31200778;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;43.75
MG;31200794;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;31.25
MG;31040924;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;12.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
MG;31277584;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;56.25
MG;31268551;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
ES;32025700;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;43.75
ES;32025785;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;62.5
ES;32025793;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;62.5
ES;32045433;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5.0;12.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;87.5
ES;32064420;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;11.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
ES;32081081;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;8.0;8.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;81.25
RJ;33036616;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;12.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
RJ;33036640;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;26.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;93.75
RJ;33036659;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5.0;24.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
RJ;33036675;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;12.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;68.75
RJ;33036730;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;56.25
RJ;33036756;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;62.5
SP;35031045;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;11.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
SP;35031100;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;17.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
SP;35031112;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;19.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;87.5
SP;35185954;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;14.0;15.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
SP;35197221;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;13.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;68.75
SP;35268410;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;20.0;21.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;68.75
PR;41042476;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;12.0;12.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;87.5
PR;41042590;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;2.0;14.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
PR;41042670;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4.0;8.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;87.5
PR;41123123;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;13.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;81.25
PR;41155483;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;8.0;11.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;56.25
PR;41164644;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;7.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;81.25
SC;42011272;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;14.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
SC;42044553;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;56.25
SC;42086671;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;62.5
SC;42152542;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;7.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
SC;42028736;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;24.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;87.5
SC;42052378;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;13.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;87.5
RS;43019285;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
RS;43190987;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;5.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
RS;43200770;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;8.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
RS;43002560;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
RS;43012329;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;20.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;75.0
RS;43012515;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;20.0;20.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;81.25
MS;50011774;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;13.0;14.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
