SG_UF;CO_ENTIDADE;IN_AGUA_POTAVEL;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;IN_REFEITORIO;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS_ACESSIVEIS;QT_SALAS_UTILIZADAS;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_SALA_DIRETORIA;IN_SECRETARIA;IN_SALA_MULTIUSO;IN_SALA_LEITURA;IN_ALIMENTACAO;IN_INTERNET;IN_INTERNET_ALUNOS;MEDIA_INFRAESTRUTURA
PE;26136639;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;37.5
PE;26175690;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
PE;26041570;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;37.5
PE;26041634;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;37.5
PE;26147190;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;56.25
PE;26123924;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;5.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;62.5
AL;27028712;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;56.25
AL;27037223;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;150.0;150.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;100.0
AL;27049248;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
AL;27049647;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;50.0
AL;27054632;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;37.5
AL;27354024;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;15.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;87.5
SE;28034392;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
SE;28034708;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;13.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
SE;28024540;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;9.0;9.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;75.0
SE;28007000;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;22.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;93.75
SE;28004418;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;43.75
SE;28035623;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;50.0
BA;29486386;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;7.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
BA;29473420;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;7.0;7.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;62.5
BA;29297710;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;31.25
BA;29310270;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;56.25
BA;29404240;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;12.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;75.0
BA;29478154;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;18.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;68.75
MG;31384070;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;62.5
MG;31375373;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;10.0;10.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
MG;31383597;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
MG;31326861;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;6.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;62.5
MG;31137227;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;8.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
MG;31342564;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;43.75
ES;32076410;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;16.0;16.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;81.25
ES;32081278;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;81.25
ES;32024703;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;31.25
ES;32078625;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
ES;32065523;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;30.0;40.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;62.5
ES;32083386;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;8.0;8.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;81.25
RJ;33009635;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;149.0;149.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;100.0
RJ;33066078;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;33.0;34.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;100.0
RJ;33067872;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;16.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;93.75
RJ;33147744;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;9.0;9.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
RJ;33200920;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;5.0;5.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
RJ;33220808;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;6.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;68.75
SP;35030806;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;18.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;87.5
SP;35010471;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
SP;35166873;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;56.25
SP;35265421;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;5.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
SP;35023899;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;12.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;93.75
SP;35007706;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;22.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
PR;41533909;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;27.0;27.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;81.25
PR;41155734;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
PR;41074858;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;62.5
PR;41154185;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;8.0;8.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;62.5
PR;41106369;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;7.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
PR;41150937;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;56.25
SC;42159946;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;8.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;43.75
