uf;dependencia_adm;codigo_escola;nome_escola;reprovacao_fundamental_total;reprovacao_medio_total;reprovacao_geral;evasao_fundamental_total;evasao_medio_total;evasao_geral
MG;Privada;31268551;POLO EDUCACIONAL ORNELAS LTDA- ESCOLA ARCO IRIS;0;Não informado;0;0;Não informado;0
MG;Pública;31200263;EM DE PALMITOS;0;Não informado;0;0;Não informado;0
MG;Pública;31200778;EM EDMUNDO ANTONIO PEREIRA;0;Não informado;0;0;Não informado;0
MG;Pública;31200794;EM HEITOR JOSE DE OLIVEIRA;0;Não informado;0;0;Não informado;0
MS;Privada;50034421;INSTITUTO EDUCACIONAL CECILIA MEIRELES;1.3;0;1.3;0;0;0
MS;Privada;50015095;COLEGIO CELQ;0.9;0;0.9;0;0;0
MS;Privada;50001515;INSTITUTO EDUCACIONAL DE ANASTACIO;0;Não informado;0;0;Não informado;0
MS;Pública;50011774;EE MAL CASTELO BRANCO;10.6;4.4;10.6;0;0;0
MS;Pública;50011790;EM ISOLINO CANDIDO DIAS - POLO;1.4;Não informado;1.4;0;Não informado;0
MS;Pública;50011804;EM LUCIANO SILVERIO DE OLIVEIRA;10.2;Não informado;10.2;0;Não informado;0
MT;Privada;51021455;COLEGIO JESUS MARIA JOSE;0.5;Não informado;0.5;0;Não informado;0
MT;Privada;51021935;ESCOLA DE EDUCACAO BASICA RUI BARBOSA;0.4;0;0.4;0;0;0
MT;Privada;51069202;INSTITUTO DE EDUCACAO ABC AGUA BOA;Não informado;3.2;3.2;Não informado;0;0
MT;Pública;51033828;EMPG DE ALEIXO;0;Não informado;0;0;Não informado;0
MT;Pública;51033879;EMPG DE CAMPO LIMPO;0;Não informado;0;0;Não informado;0
MT;Pública;51034000;EE DOM ANTONIO CAMPELO;1.2;Não informado;1.2;0;Não informado;0
PA;Privada;15161366;SISTEMA DE ENSINO INOVE;1;0;1;0;0;0
PA;Privada;15175391;ESCOLA NOSSA SENHORA SANTANA;0;Não informado;0;0;Não informado;0
PA;Privada;15587983;SISTEMA DE ENSINO VESTIBULANDO;0.7;3;3;0;0;0
PA;Pública;15064255;E M E I F CAMINHO DA ESPERANCA;4.6;Não informado;4.6;0;Não informado;0
PA;Pública;15064280;ESCOLA ESTADUAL SAO FRANCISCO XAVIER;0.6;0.1;0.6;0;0;0
PA;Pública;15064301;EMEIF SAO JOSE;0.7;Não informado;0.7;0;Não informado;0
PB;Privada;25121243;ESCOLA DISNEY;0;Não informado;0;0;Não informado;0
PB;Privada;25121251;EXTERNATO DOM PEDRO II;1.4;0;1.4;0;0;0
PB;Privada;25063251;COLEGIO 7 DE SETEMBRO LTDA;0;Não informado;0;0;Não informado;0
PB;Pública;25033158;EMEIF MAE IAIA;0;Não informado;0;0;Não informado;0
PB;Pública;25033425;EMEF SEVERINO FIRMINO DE SANTANA;0;Não informado;0;0;Não informado;0
PB;Pública;25033476;EMEF ANDRE ALVES DO NASCIMENTO;0;Não informado;0;0;Não informado;0
PE;Privada;26170868;C COM EDUC E CULTURAL MAMAE MARGARIDA;0.7;Não informado;0.7;0;Não informado;0
PE;Privada;26174189;COLEGIO E CURSO MASTER LTDA;Não informado;0;0;Não informado;0;0
PE;Privada;26174227;ESCOLINHA ELIZABETH MONTEIRO;0;Não informado;0;0;Não informado;0
PE;Pública;26106477;EM - CENTRO COM EDUCACIONAL WILIBALDO DE FRANCA SEIXAS;0;Não informado;0;0;Não informado;0
PE;Pública;26106582;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL GENERAL ABREU E LIMA;0.7;0;0.7;0;0;0
