uf,dependencia_adm,codigo_escola,nome_escola,reprovacao_fundamental_total,reprovacao_medio_total,reprovacao_geral,evasao_fundamental_total,evasao_medio_total,evasao_geral
SC,Privada,42147352,INSTITUTO REFERENCIA EM EDUCACAO INTEGRADA LTDA,Não informado,0.8,0.8,Não informado,14.2,14.2
SC,Pública,42152640,EEB MONSENHOR VENDELINO HOBOLD,4.3,4.1,4.3,34.8,17.8,34.8
SC,Pública,42147581,EIEF TARUMA,0.0,Não informado,0.0,27.3,Não informado,27.3
SC,Pública,42035805,EEB SOLON ROSA,6.0,15.2,15.2,26.8,15.8,26.8
SE,Privada,28034392,COLEGIO GENNIUS MAXIMUS,0.0,Não informado,0.0,25.0,Não informado,25.0
SE,Privada,28035623,ESCOLA DE EDUCACAO CANTINHO DA CRIANCA,0.0,Não informado,0.0,18.2,Não informado,18.2
SE,Privada,28034708,CENTRO DE ESTUDOS SANTA ANNA,Não informado,0.0,0.0,Não informado,15.3,15.3
SE,Pública,28024540,COLEGIO ESTADUAL PROFESSOR GILSON AMADO,20.0,12.3,20.0,3.0,18.0,18.0
SE,Pública,28004418,ESC MUL PAULO BARRETO,33.3,Não informado,33.3,16.7,Não informado,16.7
SE,Pública,28007000,COLEGIO ESTADUAL MURILO BRAGA,4.3,19.5,19.5,8.7,11.5,11.5
SP,Privada,35007706,CENTRO DE ENSINO GRAU TECNICO SAO BERNARDO DO CAMPO,Não informado,9.4,9.4,Não informado,26.5,26.5
SP,Privada,35010471,SOS SAUDE ESCOLA TECNICA,Não informado,4.8,4.8,Não informado,19.0,19.0
SP,Privada,35166873,COLEGIO ANTONIO FRATA,0.0,0.0,0.0,0.0,14.3,14.3
SP,Pública,35265421,PAULO FREIRE CEMEFEJA,0.0,Não informado,0.0,100.0,Não informado,100.0
SP,Pública,35030806,HELEN KELLER,0.0,2.4,2.4,1.8,28.0,28.0
SP,Pública,35023899,GLETE DE ALCANTARA PROFESSORA,Não informado,6.5,6.5,Não informado,24.9,24.9
TO,Privada,17074800,NUCLEO DE EDUCACAO INFANTIL HORAS ALEGRES,2.3,Não informado,2.3,2.4,Não informado,2.4
TO,Privada,17050308,COLEGIO CRIATIVO PALMAS,0.0,Não informado,0.0,1.4,Não informado,1.4
TO,Privada,17046661,ESCOLA SAGRADO CORACAO DE MARIA,0.0,Não informado,0.0,1.0,Não informado,1.0
TO,Pública,17056730,ESCOLA INDIGENA IROM KAM CO,8.3,25.0,25.0,16.7,50.0,50.0
TO,Pública,17052173,ESCOLA MUNICIPAL MANGUEIRA,37.5,Não informado,37.5,31.2,Não informado,31.2
TO,Pública,17001579,ESCOLA ESTADUAL MINISTRO NEY BRAGA,1.9,2.3,2.3,1.9,22.7,22.7
