uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
RO,11035269,INSTITUTO EDUCACIONAL DIMENSAO,Privada,2.6,,0,
RO,11035277,EMEIEF DOM JOAO VI,Pública,0,,0,
RO,11035404,EMEIEF GETULIO VARGAS,Pública,0,,0,
RO,11035420,EMEIEF GOVERNADOR ANGELO ANGELIN,Pública,3,,0,
RO,11035544,EMEIF JULIETA VILELA VELOZO,Pública,0.9,,0,
RO,11035773,EMEIEF PLANALTO,Pública,0,,0,
RO,11035790,EMEIEF PREFEITO MARCOS DONADON,Pública,8.6,,0,
RO,11035951,EEEFM MANUEL BANDEIRA,Pública,0.6,0.9,0,0.8
RO,11035960,EEEFM PAULO DE ASSIS RIBEIRO,Pública,2.1,5.6,0,0
RO,11037016,IFRO - CAMPUS COLORADO DO OESTE,Pública,,6.9,,0
RO,11036125,EEEFM COLINA VERDE,Pública,0,0,0,0
RO,11036397,EEEFM MARECHAL RONDON,Pública,0,1.4,0,1.3
RO,11036486,EEEFM DOUTOR OSWALDO PIANNA,Pública,,0,,0
RO,11036516,EMEIEF PROFESSOR LUIZ BENVENOTO DALA COSTA,Pública,7.4,,0,
RO,11036575,EEEF SAO ROQUE,Pública,0,,0.3,
RO,11036648,EMEIEF PROFESSOR DOMINGOS PEREIRA DA ROCHA,Pública,6.7,,0,
RO,11038519,EMEF MUNDO MAGICO,Pública,7.5,,0,
RO,11005610,EMEF GOMES CARNEIRO,Pública,3.1,,0,
RO,11005769,EEEF RAIMUNDO DE OLIVEIRA MESQUITA,Pública,0.5,,0,
RO,11005823,EEEFM ANGELINA DOS ANJOS,Pública,0,2,1.5,0.3
RO,11005858,EMEIF GENERAL SAMPAIO,Pública,0,,0,
RO,11041420,EPMEIF MARIA LUCINETE FIRMINO MIRANDA,Pública,15.1,,0,
RO,11041447,EPMEIF ILTON JOSE MARTINS,Pública,14.3,,0.2,
RO,11045507,EMEF AMERICO CASARA,Pública,14,,0.4,
RO,11047216,EEEFM DARCY DA SILVEIRA,Pública,2.9,2.4,0,2.3
RO,11048654,EMEF PREFEITO RUY RODRIGUES DE ALMEIDA,Pública,4.6,,0,
RO,11027487,EMEIEF AURELIO BUARQUE DE HOLANDA,Pública,8.3,,0,
RO,11027533,EMEIEF BRAS CUBAS,Pública,1.7,,0,
RO,11027690,EEEF FERNANDA SOUZA DE PAULA,Pública,0.6,,0.6,
RO,11027754,EEEFM JEAN PIAGET,Pública,1.5,4.5,0,0
RO,11027762,EEEF JERRIS ADRIANI TURATTI,Pública,1.1,,0.7,
RO,11027878,EEEF MARIA LOURENCO CASSIANO,Pública,1.7,,0,
RO,11027886,EMIEEF MARIA ROSA DE OLIVEIRA,Pública,0,,0,
RO,11028033,EIEEFM PICHUVY CINTA LARGA,Pública,0,,0,
RO,11028246,EIEEFM SERTANISTA BENEDITO BRIGIDO DA SILVA,Pública,4.7,7.7,3.5,7.7
RO,11028335,EMEIEF TANCREDO DE ALMEIDA NEVES,Pública,3.5,,1.8,
RO,11028424,EEEMTI 7 DE SETEMBRO,Pública,,17.2,,0.3
RO,11038578,ESCOLA MONTEIRO LOBATO,Privada,0.5,0,0,0
RO,11038586,EMEF TEOBALDO FERREIRA,Pública,0.6,,0,
RO,11042648,EIEEFM CAPITAO CARDOSO,Pública,10.6,12.5,0,0
RO,11043865,EIEEFM ROSANA CINTA LARGA,Pública,0,0,0,0
RO,11044527,EMEIEF SIMONE MOURA ROSA,Pública,0,,0,
RO,11046872,EMEIEF CLELIA DAVID MUNDIM,Pública,2.1,,0,
RO,11047607,EIEEF MAAMNZEEP CINTA LARGA,Pública,0,,0,
RO,11049987,EIEEF OYKATXER SURUI,Pública,0,,0,
RO,11106816,EEEF MARIA DI SANCTI SANTOS,Pública,0,,0,
RO,11005890,EIEEF ABRAO KOOP,Pública,1.1,,0,
RO,11005912,EIEEFM ALEXANDRINA DO NASCIMENTO GOMES,Pública,6.3,0,10.4,0
RO,11005939,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM X,Pública,0.4,1.8,0.5,1.1
RO,11005947,EMEIEF ALMIRANTE TAMANDARE,Pública,1.8,,0,
RO,11005971,EMEIEF CANDIDA MARIA MOURA DE PAULA,Pública,0,,0,
RO,11005980,EEEF CAPITAO GODOY,Pública,3,,0.9,
RO,11006030,EMEIEF JESUS PEREZ,Pública,7.7,,0.7,
RO,11006072,EIEEF 05 DE JULHO,Pública,1.4,0,4.8,5.9
RO,11006129,EIEEF FRANCISCO JOSE DE LACERDA,Pública,0,0,2.2,0
RO,11006145,EMEIEF IRMA HILDA,Pública,2,,0,
