uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
CE,23007800,SAO FRANCISCO EEF,Pública,0,,0.2,
CE,23007834,RAIMUNDO ERNESTO FONTELES EEF,Pública,0,,0,
CE,23007931,ANTONIO PEREIRA DA ROCHA EEF,Pública,0,,0,
CE,23007990,VIRGILIO TAVORA EEF SENADOR,Pública,1.4,,0,
CE,23252405,MONSENHOR WALDIR LOPES DE CASTRO EEEP,Pública,,0,,0
CE,23253118,LEOCADIO DAMASIO DA COSTA EEF,Pública,0,,0,
CE,23265574,COLEGIO SANTO AGOSTINHO,Privada,0,,0,
CE,23276169,COLEGIO EDVANDO SOUZA,Privada,0,0,0,0
CE,23545429,EEMTI FRANCISCO PORCIANO FERREIRA,Pública,,0.4,,0.3
CE,23008075,EEIEF CEL CHICO CRUZ,Pública,0,,0,
CE,23008091,EEFTI CHICO MUNDOCA,Pública,0.7,,0,
CE,23008105,EEF PADRE EMILIO SERAFIM,Pública,0,,0,
CE,23008130,MARINA XIMENES FROTA EEF,Pública,0,,0,
CE,23008148,INA ARRUDA EEIF,Pública,0,,0,
CE,23008164,EEF PROFESSOR JOAO RICARDO,Pública,0,,0,
CE,23008172,EEF PADRE JOSE ROBERTO,Pública,2.3,,0,
CE,23008180,EEIEF JOSE TELESFORO,Pública,0,,0,
CE,23008210,OLIVEIRA DR EEIF,Pública,0,,0,
CE,23008237,ROSA BRITO PROF EEIF,Pública,0,,0,
CE,23008245,EEIEF DR VICENTE ARRUDA,Pública,0,,0,
CE,23271850,EEMTI PREFEITO DARIO CAMPOS FEIJO,Pública,,0,,3
CE,23020423,ADALBERTO ALBUQUERQUE EMTI,Pública,0,,0,
CE,23020431,EEMTI GOVERNADOR ADAUTO BEZERRA,Pública,,0.3,,3.3
CE,23020474,ANTONIO DE PAULA PESSOA FIGUEIREDO EEIF,Pública,0,,0,
CE,23020512,SANTO ANTONIO EMTI,Pública,0,,0,
CE,23020520,AURELIANO LOPES EEIF,Pública,0,,0,
CE,23020555,BRAS SATIRO NASCIMENTO EMTI,Pública,0,,0,
CE,23020571,EDUCANDARIO NOSSA SENHORA DO CARMO,Privada,0,,0,
CE,23020601,CORIOLANO GOMES FROTA EEIF,Pública,0,,0,
CE,23020695,FRANCISCO CARDOSO FERREIRA LIMA EMTI,Pública,0,,0,
CE,23020709,FRANCISCA DIOGO GOMES EEIF,Pública,0,,0,
CE,23020750,FRANKLIN JUNIOR DE SOUZA EEIF,Pública,0,,0,
CE,23020792,GERARDO EMILIANO EEF,Pública,0,,0,
CE,23021020,VEREADOR ANTONIO GOMES BEZERRA EEF,Pública,0,,0,
CE,23021055,MARIA DO CARMO CARNEIRO EMTI,Pública,0,,0.6,
CE,23021071,MA LAURA SOARES FROTA EMTI,Pública,0,,0,
CE,23021110,MONSENHOR MANUEL HENRIQUES DE ARAUJO EEIF,Pública,0,,0,
CE,23021128,MANUEL RAMOS DO NASCIMENTO EEIF,Pública,0,,0,
CE,23021152,CENTRO EDUCACIONAL CENECISTA MASSAPEENSE,Privada,0,4.2,0,0
CE,23021187,PEDRO RUFINO FURTADO EEF,Pública,0,,0,
CE,23021314,CENTRO COMUNITARIO SAO JOAO BATISTA EEF,Pública,0,,0.4,
CE,23021322,EEMTI WILEBALDO AGUIAR,Pública,,0.9,,2.7
CE,23021349,CENTRO COMUNITARIO FRANCISCO CANUTO EEF,Pública,0,,0,
CE,23021357,FRANCISCO SEVERO DE ARAUJO EMTI,Pública,0,,0,
CE,23021454,DEPUTADO FRANCISCO ALMEIDA MONTE EEIF,Pública,0,,0,
CE,23171880,PROFESSORA MARIA DO CARMO CARNEIRO CMEF,Pública,0,,0,
CE,23171928,OZEAS ALVES DE SOUSA EEIF,Pública,0,,0,
CE,23171960,JOSE ESTEVAO VASCONCELOS EEIF,Pública,0,,0,
CE,23194740,CENTRO COMUNITARIO SAO JOSE EMTI,Pública,0,,0,
CE,23236060,EEEP FRANCISCA NEILYTA CARNEIRO ALBUQUERQUE,Pública,,0.8,,0
CE,23236965,ESCOLINHA CANTINHO DO SABER,Privada,0,,0,
CE,23237090,ESCOLA DE ENSINO INFANTIL E FUNDAMENTAL RAIMUNDO MACHADO,Privada,0.6,,0,
CE,23240946,MONSENHOR MANUEL HENRIQUES DE ARAUJO EEF,Pública,0,,0.4,
CE,23272686,DR LUIS CARLOS MAGALHAES AGUIAR EMTI,Pública,0,,0,
CE,23274484,CORACAO DE JESUS CENTRO DE EDUCACAO,Privada,0,,0,
CE,23160098,EEFM ADAUTO LEITE,Pública,,3.9,,6.1
CE,23160110,EEMTI ANDRE CARTAXO,Pública,,1.6,,0
CE,23160250,HUMBERTO BEZERRA EEF,Pública,0,,0,
CE,23160284,MAJOR JOAQUIM ANTO FURTADO EEF,Pública,0,,0,
CE,23160349,JOSE WILSON BARBOSA EEF,Pública,0,,0,
CE,23160373,MARIA DO SOCORRO SEVERINO OLIVEIRA EEF,Pública,0,,0,
CE,23160411,CENTRO EDUCACIONAL DE MAURITI,Pública,0,,0,
CE,23160497,UNIC ESC ENS BASICO,Privada,0.8,,0,
CE,23160500,ZEFINHA CARTAXO EEF,Pública,0,,0,
CE,23160527,FIRMINO ARARUNA DE SOUSA EEF,Pública,0,,0,
CE,23160535,JARBAS PASSARINHO EEF,Pública,0,,0,
CE,23160578,PROFESSORA MARIA NININHA DA SILVA SOUSA EEF,Pública,0,,0,
CE,23160624,FILEMON TELES EEF,Pública,0,,0,
CE,23160764,WALTER DE CALDAS TELES EEF,Pública,0,,0,
CE,23160799,EDSON OLEGARIO DE SANTANA EEF,Pública,0,,0,
CE,23160934,PEDRO MARANHAO DE LACERDA EEF,Pública,0,,0,
CE,23161019,JOSE JOAQUIM DE SOUZA EEF,Pública,0,,0,
CE,23161078,ANTO LEITE DE ARAUJO EEF,Pública,0,,0,
CE,23161175,JOSE ACILIO EEF,Pública,0,,0,
CE,23161280,OSSIAN ARARIPE EEF,Pública,0,,0,
CE,23161353,CAREOLANO LEITE EEF,Pública,0,,0,
CE,23161361,ESCOLA DE ENSINO FUNDAMENTAL JOAO FURTADO MARANHAO,Pública,0,,0,
CE,23161434,JOAO SEVERINO DE SOUSA EEF,Pública,0,,0,
CE,23198109,SAO JOSE EEF,Pública,0,,0,
CE,23211342,PADRE ARGEMIRO ROLIM DE OLIVEIRA E E F M,Privada,5.9,,0.5,
CE,23214538,ESCOLA PINGO DE GENTE ESCOLA,Privada,1.5,,0,
CE,23227737,CANTINHO DA CRIANCA ESC EDUC INFANTIL,Privada,0,,0,
CE,23269693,CENTRO EDUCACIONAL AGROVILA,Pública,0,,0,
CE,23273020,COLEGIO PRINCIPIO,Privada,0,,0,
CE,23326646,SULA LEITE EEF,Pública,0,,0,
CE,23340622,EEMTI PROFESSORA EUNICE MARIA DE SOUSA FREITAS,Pública,,1.1,,0
CE,23502983,EEEP PADRE JOAO BOSCO LIMA,Pública,,0.2,,0
CE,23017325,DEPUTADO FRANCISCO MONTE EEIF,Pública,0,,0,
CE,23017368,EEMTI MONSENHOR FURTADO,Pública,,0,,2.1
CE,23017414,JOSE BARBALHO DO NASCIMENTO EEIF,Pública,0,,0,
CE,23017422,JOSE XIMENES ALBUQUERQUE EEIF,Pública,0,,0,
CE,23017465,MANUEL DAVI DO NASCIMENTO EEF,Pública,0,,0,
CE,23017481,MURILO PIO FERNANDES EEIF,Pública,0,,0,
CE,23017520,ROSINHA BASTOS SAMPAIO EEF,Pública,0,,0,
CE,23017619,HENRIQUE SEVERINO DUARTE EEIF,Pública,0,,0,
CE,23017635,RAIMUNDO RODRIGUES DE ARAUJO EEF,Pública,0.6,,0.6,
CE,23017660,DEPUTADO MANOEL RODRIGUES EEIF,Pública,0,,0,
CE,23017686,MARIETA SALOMAO MENDES EEIF,Pública,0,,0,
CE,23017767,SIMAO BARBOSA EEIF,Pública,0,,0,
CE,23200286,BEATRIZ SANFORD FROTA EEIF,Pública,0,,0,
CE,23170620,EEMTI DONA ANTONIA LINDALVA DE MORAIS,Pública,,3.9,,3.7
CE,23170700,CASTELO BRANCO E E I F,Pública,0,,0,
CE,23170808,POPULAR SAO FRANCISCO DE ASSIS EEIF,Privada,0,,0.4,
CE,23170816,MARIA DGIVA NASCIMENTO FERREIRA EEIF,Pública,0,,0,
CE,23170824,FRANCISCO GOMES DE LUCENA E E I F,Pública,0,,0,
CE,23170905,JOAO BELEM DE OLIVEIRA E E I F,Pública,0,,0,
CE,23170913,JOAO EVANGELISTA DANTAS E E I F,Pública,0,,0,
CE,23171022,JOSE RODRIGUES BEZERRA E E I F,Pública,0,,0,
CE,23171111,MANOEL CORREIA DA SILVA E E I F,Pública,0,,0,
CE,23171120,MARIETA CALS E E I F,Pública,0,,0,
CE,23171154,MARIA DOS ANJOS DO ESPIRITO SANTO EEIF,Pública,0,,0,
CE,23171197,MARIA LUCIA BELEM LEITE E E I F,Pública,0,,0,
CE,23171324,PATRONATO E ESCOLA NORMAL ZEFINHA GOMES,Privada,1,0,0,0
CE,23171456,DONA MARIQUINHA BELO E E I F,Pública,0,,0,
CE,23171472,OSEIAS LEITE BELEM E E I F,Pública,0,,0,
CE,23175451,E E I F CENTRO EDUCACIONAL DE MILAGRES,Privada,0,,0,
CE,23229063,CLICERIO MARTINS PEREIRA E E I F,Pública,0,,0,
CE,23238194,EEEP IRMA ANA ZELIA DA FONSECA,Pública,,0.8,,0
CE,23242698,ESCOLA EDUCACAO INFANTIL E FUNDAMENTAL CRIANCA FELIZ DE MILAGRES,Privada,0.8,,0,
CE,23276339,ANTONIO CRISOSTOMO PEREIRA,Pública,0,,0,
CE,23276347,JOSE LEITE SAMPAIO - PADRE DUZA EEF,Pública,0,,0,
CE,23282690,EMTI-PREFEITA MEIRE FRANCISCA LACERDA DE MEDEIROS,Pública,0.2,,0,
CE,23370629,CAEDI CENTRO DE APOIO A EDUCACAO INTEGRAL SS LTDA,Privada,0,,0,
CE,23496010,JOSE LUCIANO ALVES EEIF,Pública,0,,0,
CE,23115025,CLEONICE BEZERRA PINHEIRO ROSA EEFTI,Pública,1.4,,0,
CE,23115050,EEMTI EUCLIDES PINHEIRO DE ANDRADE,Pública,,0,,3.1
CE,23115190,IDELZUITE MONTEIRO OLIVEIRA EEIEFTI,Pública,0,,0,
CE,23115319,JOSE ENEAS PINHEIRO EEIEFTI,Pública,0,,0,
CE,23115335,JOSE PEDRO DE LIMA EEIEFTI,Pública,0,,0,
CE,23115467,RAIMUNDO BRAZ EEIEFTI,Pública,0,,0,
CE,23115688,RAIMUNDO BEZERRA DE FIGUEREDO EEIEFTI,Pública,0.8,,0,
CE,23246960,CLB-COLEGIO LINDEZIR BATISTA,Privada,0,0,0,0
CE,23021500,ANICETO TEIXEIRA EEB,Pública,0,,0,
CE,23021519,MARIA AZEVEDO ROCHA EEB,Pública,0,,0,
CE,23021543,JOAO BATISTA DE FREITAS EEB,Pública,0,,0,
CE,23021764,JOSE RICARDO VENANCIO EEB,Pública,0,,0,
CE,23021772,EEM JOSEFA BRAGA BARROSO,Pública,,0,,3.3
CE,23021799,LINDOLFO DE PAULA BRAGA EEB,Pública,0,,0,
CE,23021802,ABILIO ANTONIO ALVES EEB,Pública,0,,0,
CE,23021837,MANOEL FRANCISCO INACIO EEB,Pública,0,,0,
CE,23021853,MOURA NEGRAO FILHO EEB,Pública,0.2,,0.2,
CE,23022060,EEMTI VICENTE ANTENOR FERREIRA GOMES,Pública,,0,,0.4
CE,23196050,PEDRA BRANCA EEB,Pública,0,,0,
CE,23196068,FRANCISCA BRAGA LIMA EEB,Pública,0,,0,
CE,23166185,EEFM PADRE AMORIM,Pública,,3,,2.1
CE,23166193,ANTONIO ALVES DE BARROS EEF,Pública,1.1,,0,
CE,23166215,EEM MONSENHOR ANTONIO FEITOSA,Pública,,1,,5.9
CE,23166231,ANTONIO FERREIRA DE SOUZA EEF,Pública,0,,0,
CE,23166290,CICERO MANOEL DA SILVA EEF,Pública,1.8,,0,
CE,23166355,EDSON OLEGARIO DE SANTANA EEF,Pública,0,,0,
CE,23166371,MAJOR FELIPE GOMES RIBEIRO EEF,Pública,0,,0,
CE,23166479,JOAQUIM ALVES DE BARROS EEF,Pública,0,,0,
CE,23166541,JOAQUIM GONCALVES RIBEIRO EEF,Pública,0,,0,
CE,23166592,JOSE ANDRE DA SILVA EEF,Pública,0,,0,
CE,23166657,LEAO SAMPAIO EEF,Pública,0,,0,
CE,23166673,IRMA LUIZA MARIA EEF,Pública,0,,0,
CE,23166746,NOEMIA CRUZ LANDIM EEF,Pública,0,,0,
CE,23166762,PATINHO DOURADO C DE ESTUDOS CRIATIVOS,Privada,0,,0.6,
CE,23166789,PEDRO LUIS PEREIRA EEF,Pública,0,,0,
CE,23166835,DR STENIO DANTAS EEF,Pública,0,,0,
CE,23166851,MANOEL FAUSTINO DO NASCIMENTO EEF,Pública,0,,0,
CE,23166860,MARIA FECHINE DE ALENCAR EEF,Pública,1.1,,0,
CE,23166908,PEDRO RAIMUNDO DA CRUZ CENTRO DE EDUCACAO RURAL,Pública,0,,0,
CE,23166916,SEBASTIAO PEDRO DE ARAUJO EEF,Pública,0,,0,
CE,23176644,JUVENAL RODRIGUES BRANDAO EEF,Pública,0,,0,
CE,23213655,JEAN PIAGET - EEIFM,Privada,0.7,0,0,0
CE,23243198,LOURIVAL DANTAS RIBEIRO EEF,Pública,0,,0.3,
CE,23259701,CENTRO EDUCACIONAL INOVACAO,Privada,0,,0,
CE,23262737,CIDADAO DO FUTURO IEIEF,Privada,0,,0,
CE,23268727,TALENTOS NUCLEO DE EDUCACAO,Privada,0,,0,
CE,23278935,ESCOLA NOSSA SENHORA APARECIDA,Privada,0,,0,
CE,23285613,FRANCISCO RIBEIRO DA CRUZ EEF,Pública,0,,0,
CE,23115807,EEM ANANIAS DO AMARAL VIEIRA,Pública,,0.1,,3.8
CE,23115939,ANTO FRANCISCO DE SOUSA EEF,Pública,0,,0,
CE,23115955,FRANCISCO PINHEIRO JOTA EEF,Pública,0,,3.2,
CE,23115963,ANTO SOARES EEF,Pública,0.5,,1.1,
CE,23115971,ANTO TOMAZ DE AQUINO EEF,Pública,0,,0,
CE,23116080,CRISTO REI EEF,Pública,0,,1,
CE,23116129,DIVINO SALVADOR EEFM,Pública,0.5,,0.8,
CE,23116161,LIBERATO MOREIRA LIMA EEF,Pública,0,,1.7,
CE,23116200,FCA CASTELO TEIXEIRA EEF,Pública,0,,1.9,
CE,23116293,FCO VIEIRA DA COSTA EEF,Pública,1,,0,
CE,23116455,JOSE JAIME BENEVIDES EEF,Pública,0,,0,
CE,23116471,JOSE LEANDRO DE OLIVEIRA EEF,Pública,0,,0,
CE,23116501,LAURA ALENCAR PROFA EEF,Pública,2.3,,0.2,
CE,23116625,ROCHA ANDRADE EEF CAPITAO,Pública,7.1,,0,
CE,23116846,MA SILVINO BENEVIDES EEF,Pública,0,,0,
CE,23116951,EEMTI PROFESSOR PEDRO JAIME,Pública,,0,,1.8
CE,23116960,EEEP PROFESSOR PLACIDO ADERALDO CASTELO,Pública,,0,,0.6
CE,23116978,PLACIDO ADERALDO CASTELO EEF,Pública,0,,0,
CE,23116994,ROBERTO DE SA BENEVIDES EEF,Pública,0,,0,
CE,23117257,LUIS BATISTA VIEIRA EEF,Pública,0,,0,
CE,23117460,RAIMUNDO FCO DA SILVA EEF,Pública,0,,1.3,
CE,23117478,CENTRO DE EDUCACAO RURAL,Pública,0,,1.4,
CE,23117486,SALAO EEF,Pública,0,,0,
CE,23117559,CANDIDO SIMAO EEF,Pública,0,,0.7,
CE,23117567,JOSE MARQUES DE SOUSA EEF,Pública,0,,0,
CE,23117770,PEDRO AIRES DE CARVALHO EEF,Pública,0,,1.6,
CE,23117907,JOSE LIBERATO DE PADUA EEF,Pública,0,,1.4,
CE,23118105,ISABEL ALVES DE OLIVEIRA EEF,Pública,0,,0,
CE,23118121,JOSE AIRES TEIXEIRA EEF,Pública,0,,0,
CE,23118156,MARIA AMBROZINA CAVALCANTE EEF,Pública,0,,0,
CE,23118300,JOAQUIM ALVES DA CUNHA EEF,Pública,0,,0,
CE,23202459,PEDRO LEAO EEF PE,Pública,0,,0,
CE,23202475,JARDILINA VIEIRA DE SOUSA EEF,Pública,0,,0,
CE,23273666,EEM PAULO FREIRE,Pública,,0,,0
CE,23281782,CENTRO EDUCACIONAL IDETE SISTEMA DE ENSINO FARIAS BRITO,Privada,0,,0,
CE,23089164,EEMTI GOVERNADOR ADAUTO BEZERRA,Pública,,1.2,,7.8
CE,23089571,EMEFTI LUIZ LEITAO,Pública,0.4,,1,
CE,23089644,EMEIFTI MARIA ZELI ALVES DE MELO,Pública,0,,0,
CE,23089652,EMEIFTI MARIA RIBEIRO DE ALBUQUERQUE,Pública,4,,0,
CE,23089890,EMEFTI UMBELINO ALVES DE ALBUQUERQUE,Pública,0,,0,
CE,23089946,EMEIFTI SAO FRANCISCO,Pública,0,,0,
CE,23090120,EMEIFTI FELIX CASSIANO DE SOUSA,Pública,0,,0,
CE,23090146,EMEIFTI MONSENHOR JOSE CANDIDO,Pública,2.7,,0,
CE,23090162,EMEIFTI LEOCADIO SAMPAIO RODRIGUES,Pública,2.6,,0,
CE,23090200,EMEIFTI PESSOA PIRES,Pública,0,,0,
CE,23228369,EMEIFTI UM NOVO AMANHECER,Pública,0,,0,
CE,23233311,ESCOLA INDIGENA POVO CACETEIRO,Pública,0,0,0,0
CE,23233338,ESCOLA INDIGENA TABAJARA,Pública,1.5,,0,
CE,23244763,ESCOLA INDIGENA DE MONSENHOR TABOSA,Pública,0,,0.5,
CE,23264861,ESCOLA INDIGENA POTYGUARA DE JUCAS,Pública,1.5,,0,
CE,23265078,EMEIFTI JOSE NUNES LEITAO,Pública,0,,0.9,
CE,23265086,EMEIFTI SERAPIAO RODRIGUES DE OLIVEIRA,Pública,0,,0,
CE,23269502,EMEIFTI ANTONIO ELIAS DE SOUSA,Pública,0,,0,
CE,23274433,ESCOLA INDIGENA ABA KATU,Pública,0,0,0,6.1
CE,23277300,EEEP MARIA MADEIRO DIAS,Pública,,0,,0
CE,23282118,ESCOLA INDIGENA CULTURA VIVA,Pública,0,,0,
CE,23349620,INSTITUTO FORMAR,Privada,0,,0,
CE,23545097,ESCOLA INDIGENA JOAQUIM UGENA,Pública,0,,0,
CE,23545615,EEM FLORESTAN FERNANDES,Pública,,0,,0
CE,23128739,EEM EGIDIA CAVALCANTE CHAGAS,Pública,,0.2,,5.2
CE,23128755,FRANCISCO ANDRADE TEOFILO GIRAO EEB DEP,Pública,0,,0,
CE,23128895,JOSE EPIFANIO DAS CHAGAS CEB CORONEL,Pública,0.1,,0.8,
CE,23128941,REGINA HELENA BEZERRA EEB,Pública,0,,0,
CE,23128950,LUIS JOAO DE SOUSA EEB,Pública,0,,1.5,
CE,23129000,MARIA DE LOURDES TERCEIRO CHAGAS INSTITUTO,Privada,0.3,,0,
CE,23129018,EEMTI MARIA EMILIA RABELO,Pública,,0.2,,0.3
CE,23129190,CENTRO EDUCACIONAL CENECISTA MONSENHOR TABOSA,Privada,0,,0,
CE,23129204,TANCREDO DE ALMEIDA NEVES EEB,Pública,0,,0,
CE,23129280,JOANA PAULA DE MORAES EEB,Pública,0,,0,
CE,23129301,BENEVENUTO LINO DO NASCIMENTO EEB,Pública,0,,0,
CE,23129395,JOSE FRANCISCO SAMPAIO EEB,Pública,0,,0.9,
CE,23129620,GEORGINA RIBEIRO DOS SANTOS EEB,Pública,0,,0,
CE,23129697,MARIA RABELO MARTINS EEB,Pública,0,,0,
CE,23129808,CANDIDO JOSE RABELO EEB,Pública,0,,0,
CE,23129891,JOSE EDUARDO FILHO EBB,Pública,0,,0,
CE,23130024,JOSE IRIS RABELO EEB,Pública,0,,0.8,
CE,23130130,ANA NOGUEIRA MAIA,Pública,0,,3.3,
CE,23130342,JOAQUIM CHAGAS FILHO EEB,Pública,0,,0,
CE,23130385,JOSE NOGUEIRA DE QUEIROZ EEB,Pública,0,,0,
CE,23130636,FRANCISCO GALVAO DE OLIVEIRA EEB,Pública,0,,0,
CE,23210389,ANA CLARA ANDRADE NANTUA BENTO EEB PROF¿,Pública,0,,0,
CE,23236078,EEEP OSMIRA EDUARDO DE CASTRO,Pública,,0,,0
CE,23251514,CENTRO EDUCACIONAL CONSTRUINDO O CONHECIMENTO,Privada,1.4,,0,
CE,23273933,COLEGIO EDUCAR DE ENSINO INFANTIL E FUNDAMENTAL,Privada,0,,0,
CE,23273950,HILDA PONCIANO DE OLIVEIRA LIMA PROFESSORA EEB,Pública,0,,1.8,
CE,23278315,INSTITUTO EDUCACIONAL ATRIUS,Privada,0,,0,
CE,23280611,PEQUENO APRENDIZ EDUCANDARIO,Privada,0.8,,0,
CE,23016140,APRIGIO RODRIGUES MOREIRA EMEIEF,Pública,0,,0,
CE,23016230,EEMTI HUET ARRUDA,Pública,,1.2,,3.3
CE,23016248,HUET ARRUDA EMEIEF,Pública,0,,0,
CE,23016264,JOSE SEVERIANO DE OLIVEIRA EMEIEF,Pública,0,,0,
CE,23016370,NOSSA SENHORA DA CONCEICAO EMEF,Pública,0,,0,
CE,23016426,ANTONIO BENICIO DE VASCONCELOS EMEIEF,Pública,0,,0,
CE,23181478,ANTONIO GONCALVES MACHADO EMEIEF,Pública,0,,0,
CE,23198532,JUVENCIO DA COSTA SAMPAIO EMEIEF,Pública,0,,0,
CE,23226471,ELBER ALBUQUERQUE AGUIAR EMEF,Pública,0,,0,
CE,23277793,INSTITUTO EDUCACIONAL PROFESSORA EUDALIA MOREIRA,Privada,0,,0,
CE,23008261,ANTONIO SOARES EMEFI,Pública,0,,0,
CE,23008300,EEMTI CARMINHA VASCONCELOS,Pública,,0,,0
CE,23008350,JOSE AURIMAR PEREIRA EMEF,Pública,0,,0,
CE,23008377,FRANCISCO LOPES MARCAL EMEF,Pública,0,,0,
CE,23008393,JONAS ROBERTO MAGALHAES EMEF,Pública,0,,0,
CE,23008423,JOAO LEONEL ALVES EMEFI,Pública,0,,1.8,
CE,23008482,MANOEL FRANCISCO DA SILVA EMEFI,Pública,0,,2.1,
CE,23008547,MARIA CONCEICAO DOS SANTOS EMEF,Pública,0,,0,
CE,23008601,MIGUEL AVELINO VASCONCELOS EMEFI,Pública,0,,0,
CE,23008750,CORONEL VIRGILIO TAVORA EMEF,Pública,0,,0,
CE,23008768,ZOZIMO MARINHO DE ANDRADE EMEF,Pública,0,,0.4,
CE,23215593,FRANCISCO ABDORAL ROCHA EMEF,Pública,0,,0,
CE,23215607,MARIA LENILDA DE SOUZA EMEF,Pública,2.4,,1,
CE,23237813,COLEGIO SAO JOAO PAULO II,Privada,0,0,0,0
CE,23244380,COLEGIO MORRINHENSE CONEGO SARAIVA,Privada,2.2,0,0.8,0
CE,23252642,EEMTI MARIA JOSE MAGALHAES,Pública,,0,,1.1
CE,23276053,ESCOLA INTEGRAL DE ENSINO INFANTIL FUNDAMENTAL E MEDIO TALMIDIM,Privada,0,,4.3,
CE,23022094,ANTONIA FERREIRA DOS SANTOS EEIEF,Pública,0,,0,
CE,23022183,FRANCISCO RICARDO DA SILVA EEIEF,Pública,0,,0,
CE,23022248,EEMTI JOSE CLAUDIO DE ARAUJO,Pública,,0.6,,5.7
CE,23022256,JOSE DOMINGOS DE ALCANTARA EEIEF,Pública,0,,0,
CE,23022345,DEPUTADO MANOEL RODRIGUES CENTRO EDUCACIONAL,Pública,0,,0,
CE,23022418,RAIMUNDO FELIX DA PONTE EEIEF,Pública,0,,0,
CE,23022469,JOAO SILVERIO DE AZEVEDO EEIEF,Pública,0,,0,
CE,23198745,COLEGIO VICENTINA FREIRE,Privada,0,,0,
CE,23258411,PREFEITO RAPHAEL CLAUDIO DE ARAUJO EEIEF,Pública,0,,0,
CE,23273941,MARIA VANIA FARIAS LINHARES,Pública,0.2,,0,
CE,23055626,HERMENEGILDO ROCHA PONTES EEF,Pública,0,,0,
CE,23055650,JARDIM EEIEF,Pública,0,,0,
CE,23055669,JOAO LOPES EEIEF,Pública,0,,0,
CE,23055685,MARIA AMELIA PONTES EMEIF,Pública,0,,0,
CE,23055693,EEMTI PROFESSOR MILTON FACANHA ABREU,Pública,,0.6,,0
CE,23055774,TERESA EEIEF SANTA,Pública,0,,0,
CE,23055790,ESCOLA SAGRADO CORACAO DE JESUS,Privada,0,,0,
CE,23277653,SANTIAGO COLEGIO,Privada,0,,0,
CE,23166924,15 DE NOVEMBRO EEIEF,Pública,0,,0,
CE,23166940,ALVIN ALVES EEIEF,Pública,0,,0,
CE,23167017,PADRE CRISTIANO COELHO EEF,Pública,0.3,,0,
CE,23167033,REUNIDAS SANTO EXPEDITO EEIEF,Pública,0,,0,
CE,23167173,JOSE LIBERALINO DA SILVA EEIEF,Pública,0,,0,
CE,23167190,EEMTI PADRE LUIS FILGUEIRAS,Pública,,0.2,,2.9
CE,23210915,AVELINO FEITOSA EEF,Pública,2.5,,0,
CE,23246863,EEEP WELLINGTON BELEM DE FIGUEIREDO,Pública,,0,,0
CE,23249455,ASSOCIACAO DOS EDUCADORES DE NOVA OLINDA - CENTRO DE EDUCACAO BASICA EEIEFM,Privada,3.2,,0,
CE,23254025,PROFESSORA ANA FERREIRA DO NASCIMENTO EEIEF,Pública,0,,0,
CE,23333219,UNIVERSO DO SABER EEIEF,Privada,0,,0,
CE,23090227,11 DE NOVEMBRO EMEF,Pública,0,,0.6,
CE,23090235,EEMTI ALFREDO GOMES,Pública,,0.3,,0.4
CE,23090286,CORNELIO ROSA EMEF,Pública,0,,0,
CE,23090340,FRANCISCO VIEIRA DA SILVA EMEF,Pública,0,,0,
CE,23090359,SAO FRANCISCO EMEF,Pública,0,,0,
CE,23090448,JOSE SANTOS MOURAO EMEF,Pública,0,,0,
CE,23090464,SAO JOSE EMEF,Pública,0,,0,
CE,23090545,EEMTI OLEGARIO ABREU MEMORIA,Pública,,0,,0
CE,23090553,ESCOLA MODELO DE NOVA RUSSAS,Privada,0,,0,
CE,23090600,VALE DO CURTUME E E F M,Privada,0,0,0,0
CE,23090642,ZILMAR MENDES MARTINS EMEF,Pública,0,,0,
CE,23090677,MARIANO RODRIGUES DA COSTA EMEF,Pública,0.4,,0.9,
CE,23090782,SEBASTIANA CID DE FARIAS EMEF,Pública,0,,0,
CE,23090839,HERMENEGILDO MARTINS EMEF,Pública,0,,0,
CE,23091061,JOAO GONCALVES DE SOUSA EMEF,Pública,0,,0,
CE,23202149,EDUCANDARIO JOAO DE LA SALLE,Privada,0,,0,
CE,23215054,ANIVALDA FEITOZA EMEIF PROF,Pública,1.6,,0,
CE,23215062,OLMIR MENDES GUEDES EMEF,Pública,0,,0,
CE,23225114,FRANCISCA DAS GRACAS TAVARES MESQUITA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,Pública,0,,0,
CE,23238593,PEDRO ANDRE DE MENDONCA EMEF,Pública,0,,0,
CE,23251247,FRANCISCO SEGUNDO DE OLIVEIRA EMEF,Pública,0,,0,
CE,23258160,FRANCISCO INACIO DE CARVALHO EMEIF,Pública,0,,0,
CE,23261005,MANUELA NASCIMENTO DE FREITAS EMEF,Pública,0,,0,
CE,23564407,EEEP MANUEL ABDIAS EVANGELISTA,Pública,,0.4,,0
CE,23091215,FRANCISCO SEVERIANO SOUSA E E F,Pública,0,,0,
CE,23091240,EEMTI COELHO MASCARENHAS,Pública,,0.3,,0
CE,23091428,FRANCISCO RUFINO E E F,Pública,0,,0,
CE,23091550,FERNANDO COSTA E E I F,Pública,0,,0,
CE,23091711,HONORIO FERNANDES ARAUJO E E F,Pública,0,,0,
CE,23091800,EDVAL ARAUJO DA SILVA C E I F,Pública,0,,0,
